"id","district_id","case_id","date","total"
519,"3273",2,"2020-08-06",0
530,"3274",2,"2020-08-06",0
541,"3275",2,"2020-08-06",0
552,"3276",2,"2020-08-06",0
563,"3277",2,"2020-08-06",0
574,"3278",2,"2020-08-06",0
585,"3279",2,"2020-08-06",0
591,"3279",8,"2020-08-06",0
309,"3202",1,"2020-08-06",0
320,"3203",1,"2020-08-06",79
331,"3204",1,"2020-08-06",0
342,"3205",1,"2020-08-06",0
353,"3206",1,"2020-08-06",0
364,"3207",1,"2020-08-06",0
375,"3208",1,"2020-08-06",25
386,"3209",1,"2020-08-06",0
397,"3210",1,"2020-08-06",8
408,"3211",1,"2020-08-06",0
419,"3212",1,"2020-08-06",0
430,"3213",1,"2020-08-06",0
441,"3214",1,"2020-08-06",0
452,"3215",1,"2020-08-06",0
463,"3216",1,"2020-08-06",12
474,"3217",1,"2020-08-06",0
485,"3218",1,"2020-08-06",0
496,"3271",1,"2020-08-06",0
507,"3272",1,"2020-08-06",20
518,"3273",1,"2020-08-06",0
529,"3274",1,"2020-08-06",1
540,"3275",1,"2020-08-06",37
551,"3276",1,"2020-08-06",15
562,"3277",1,"2020-08-06",0
573,"3278",1,"2020-08-06",0
584,"3279",1,"2020-08-06",0
483,"3217",10,"2020-08-06",0
472,"3216",10,"2020-08-06",3947
461,"3215",10,"2020-08-06",6
450,"3214",10,"2020-08-06",0
439,"3213",10,"2020-08-06",0
428,"3212",10,"2020-08-06",0
417,"3211",10,"2020-08-06",1041
406,"3210",10,"2020-08-06",0
395,"3209",10,"2020-08-06",2
384,"3208",10,"2020-08-06",1656
373,"3207",10,"2020-08-06",2075
362,"3206",10,"2020-08-06",1563
351,"3205",10,"2020-08-06",2626
340,"3204",10,"2020-08-06",7
329,"3203",10,"2020-08-06",1020
318,"3202",10,"2020-08-06",3
307,"3201",10,"2020-08-06",0
580,"3278",8,"2020-08-06",5
569,"3277",8,"2020-08-06",0
558,"3276",8,"2020-08-06",7
547,"3275",8,"2020-08-06",7
536,"3274",8,"2020-08-06",0
525,"3273",8,"2020-08-06",0
514,"3272",8,"2020-08-06",2
503,"3271",8,"2020-08-06",1
492,"3218",8,"2020-08-06",0
481,"3217",8,"2020-08-06",7
470,"3216",8,"2020-08-06",32
459,"3215",8,"2020-08-06",57
448,"3214",8,"2020-08-06",1
437,"3213",8,"2020-08-06",0
426,"3212",8,"2020-08-06",73
415,"3211",8,"2020-08-06",4
404,"3210",8,"2020-08-06",7
393,"3209",8,"2020-08-06",1
382,"3208",8,"2020-08-06",1
371,"3207",8,"2020-08-06",0
360,"3206",8,"2020-08-06",0
349,"3205",8,"2020-08-06",0
338,"3204",8,"2020-08-06",26
327,"3203",8,"2020-08-06",0
316,"3202",8,"2020-08-06",25
305,"3201",8,"2020-08-06",163
330,"3203",11,"2020-08-06",89
592,"3279",9,"2020-08-06",0
581,"3278",9,"2020-08-06",0
